,Unnamed: 0,,location,timestamp,tweet,tiny_tweet,tokens,stems,score,
8599,8599,8599,"[,]",2020-05-08 00:16:31+00:00,"@VICTORINAF1 @alferdez Lo único que puede mostrar como Gestion es el corona , y me parece que se irán juntos ....",nico puede mostrar como Gestion corona parece juntos,"['nico', 'puede', 'mostrar', 'como', 'gestion', 'corona', 'parece', 'juntos']","['nic', 'pued', 'mostr', 'com', 'gestion', 'coron', 'parec', 'junt']",1,
8601,8601,8601,"[,]",2020-05-08 00:16:37+00:00,A hermana le pasaron un link de que la habían escrachado por romper cuarentena y literal se puso a llorar. Tan inocente que duele,hermana pasaron link escrachado romper cuarentena literal puso llorar inocente duele,"['hermana', 'pasaron', 'link', 'escrachado', 'romper', 'cuarentena', 'literal', 'puso', 'llorar', 'inocente', 'duele']","['herman', 'pas', 'link', 'escrach', 'romp', 'cuarenten', 'literal', 'pus', 'llor', 'inocent', 'duel']",1,
8633,8633,8633,"[,]",2020-05-08 00:17:25+00:00,@AnavanGelderen Le hace bien la cuarentena.,hace bien cuarentena,"['hace', 'bien', 'cuarentena']","['hac', 'bien', 'cuarenten']",2,
8745,8745,8745,"[,]",2020-05-08 00:21:26+00:00,"Robaron en la puerta de casa, no paran ni en cuarentena estos HIJOS DE MIL PUTAAAAAAAA",Robaron puerta casa paran cuarentena estos HIJOS PUTAAAAAAAA,"['robaron', 'puerta', 'casa', 'paran', 'cuarentena', 'estos', 'hijos', 'putaaaaaaaa']","['rob', 'puert', 'cas', 'par', 'cuarenten', 'estos', 'hij', 'putaaaaaaa']",0,
8840,8840,8840,"[,]",2020-05-08 00:24:13+00:00,"Bueno, la cuarentena sigue hasta el 26/5 y elimina la reunión de mi CUMPLEAÑOS nro 31. 🤔🤔🤐",Bueno cuarentena sigue hasta elimina reuni CUMPLEA,"['bueno', 'cuarentena', 'sigue', 'hasta', 'elimina', 'reuni', 'cumplea']","['buen', 'cuarenten', 'sig', 'hast', 'elimin', 'reuni', 'cumple']",1,
8887,8887,8887,"[,]",2020-05-08 00:25:17+00:00,"Antes de ayer lasagna, ayer milhoja de papas, hoy moussaka. De esta cuarentena salimos rodando.",Antes ayer lasagna ayer milhoja papas moussaka esta cuarentena salimos rodando,"['antes', 'ayer', 'lasagna', 'ayer', 'milhoja', 'papas', 'moussaka', 'esta', 'cuarentena', 'salimos', 'rodando']","['antes', 'ayer', 'lasagn', 'ayer', 'milhoj', 'pap', 'moussak', 'esta', 'cuarenten', 'sal', 'rod']",1,
8889,8889,8889,"[,]",2020-05-08 00:25:20+00:00,"Son una manga de sincerebro, Si no les gusta la cuarentena, que prueben con el coronavirus.",manga sincerebro gusta cuarentena prueben coronavirus,"['manga', 'sincerebro', 'gusta', 'cuarentena', 'prueben', 'coronavirus']","['mang', 'sincerebr', 'gust', 'cuarenten', 'prueb', 'coronavirus']",1,
8950,8950,8950,"[,]",2020-05-08 00:27:14+00:00,"@AcaIriaMiNombre Jaja. No, esa cara es por lo de no cumplir la cuarentena porque yo estoy a punto de desistir",Jaja cara cumplir cuarentena porque estoy punto desistir,"['jaja', 'cara', 'cumplir', 'cuarentena', 'porque', 'estoy', 'punto', 'desistir']","['jaj', 'car', 'cumpl', 'cuarenten', 'porqu', 'estoy', 'punt', 'desist']",1,
8954,8954,8954,"[,]",2020-05-08 00:27:24+00:00,"@suomisoviet En pandemia todo es válido diga lo que diga Alberto, la cuarentena se levanto! Comprobado.",pandemia todo lido diga diga Alberto cuarentena levanto Comprobado,"['pandemia', 'todo', 'lido', 'diga', 'diga', 'alberto', 'cuarentena', 'levanto', 'comprobado']","['pandemi', 'tod', 'lid', 'dig', 'dig', 'albert', 'cuarenten', 'levant', 'comprob']",1,
8959,8959,8959,"[,]",2020-05-08 00:27:40+00:00,@NardaLepes Dificilísimo guardar comida en cuarentena. Va todo a los platos. Una y otra vez.,Dificil simo guardar comida cuarentena todo platos otra,"['dificil', 'simo', 'guardar', 'comida', 'cuarentena', 'todo', 'platos', 'otra']","['dificil', 'sim', 'guard', 'com', 'cuarenten', 'tod', 'plat', 'otra']",1,
9074,9074,9074,"[,]",2020-05-08 00:31:18+00:00,@Lulialba3 Ahora hablo con Albert amiga y hacemos la apertura de la cuarentena,Ahora hablo Albert amiga hacemos apertura cuarentena,"['ahora', 'hablo', 'albert', 'amiga', 'hacemos', 'apertura', 'cuarentena']","['ahor', 'habl', 'albert', 'amig', 'hac', 'apertur', 'cuarenten']",1,
9090,9090,9090,"[,]",2020-05-08 00:31:38+00:00,Cumple número no sé cuánto en cuarentena jajajaja Todos los meses cumple alguien de mí familia 😂😂,Cumple mero cuarentena jajajaja Todos meses cumple alguien familia,"['cumple', 'mero', 'cuarentena', 'jajajaja', 'todos', 'meses', 'cumple', 'alguien', 'familia']","['cumpl', 'mer', 'cuarenten', 'jajajaj', 'tod', 'mes', 'cumpl', 'algui', 'famili']",1,
9105,9105,9105,"[,]",2020-05-08 00:32:01+00:00,Cuando el virus hace justicia!!,Cuando virus hace justicia,"['cuando', 'virus', 'hace', 'justicia']","['cuand', 'virus', 'hac', 'justici']",1,
9114,9114,9114,"[,]",2020-05-08 00:32:14+00:00,"@LauraIris72 Obviamente, es re copado, ahora cuando afloje un poco la cuarentena, tengo que ir a visitar",Obviamente copado ahora cuando afloje poco cuarentena tengo visitar,"['obviamente', 'copado', 'ahora', 'cuando', 'afloje', 'poco', 'cuarentena', 'tengo', 'visitar']","['obvi', 'cop', 'ahor', 'cuand', 'afloj', 'poc', 'cuarenten', 'teng', 'visit']",1,
9128,9128,9128,"[,]",2020-05-08 00:32:38+00:00,Jajajajaja gracias primer mundo por este virus,Jajajajaja gracias primer mundo este virus,"['jajajajaja', 'gracias', 'primer', 'mundo', 'este', 'virus']","['jajajajaj', 'graci', 'prim', 'mund', 'este', 'virus']",2,
9206,9206,9206,"[,]",2020-05-08 00:34:42+00:00,"@FabBallarini @CurzelFlor @CoronaConsultas Es lo que buscan desde el principio de la cuarentena, bah desde siempre....",buscan desde principio cuarentena desde siempre,"['buscan', 'desde', 'principio', 'cuarentena', 'desde', 'siempre']","['busc', 'desd', 'principi', 'cuarenten', 'desd', 'siempr']",1,
9343,9343,9343,"[,]",2020-05-08 00:38:58+00:00,Se piensan q Echarri pide plata para sobrevivir en la cuarentena. Jajaja son más boludos los macristas,piensan Echarri pide plata para sobrevivir cuarentena Jajaja boludos macristas,"['piensan', 'echarri', 'pide', 'plata', 'para', 'sobrevivir', 'cuarentena', 'jajaja', 'boludos', 'macristas']","['piens', 'echarri', 'pid', 'plat', 'par', 'sobreviv', 'cuarenten', 'jajaj', 'bolud', 'macrist']",1,
9447,9447,9447,"[,]",2020-05-08 00:42:07+00:00,Lo bueno de esta cuarentena es que los que estudian a la mañana no se tienen que comer todo el frío de mierda,bueno esta cuarentena estudian tienen comer todo mierda,"['bueno', 'esta', 'cuarentena', 'estudian', 'tienen', 'comer', 'todo', 'mierda']","['buen', 'esta', 'cuarenten', 'estudi', 'tien', 'com', 'tod', 'mierd']",2,
9556,9556,9556,"[,]",2020-05-08 00:45:17+00:00,@Walgomez3 Feliz cumpleaños!!! Y que se vaya pronto el corona...,Feliz cumplea vaya pronto corona,"['feliz', 'cumplea', 'vaya', 'pronto', 'corona']","['feliz', 'cumple', 'vay', 'pront', 'coron']",1,
9568,9568,9568,"[,]",2020-05-08 00:45:45+00:00,El twitter de “niños haciendo cagadad” es una de las mejores cosas que me paso en la cuarentena,twitter haciendo cagadad mejores cosas paso cuarentena,"['twitter', 'haciendo', 'cagadad', 'mejores', 'cosas', 'paso', 'cuarentena']","['twitt', 'hac', 'cagad', 'mejor', 'cos', 'pas', 'cuarenten']",2,
9609,9609,9609,"[,]",2020-05-08 00:47:08+00:00,Esta cuarentena de mierda es muy abstracta. Se puede salir por salir o no? La respuesta les sorprenderá.,Esta cuarentena mierda abstracta puede salir salir respuesta sorprender,"['esta', 'cuarentena', 'mierda', 'abstracta', 'puede', 'salir', 'salir', 'respuesta', 'sorprender']","['esta', 'cuarenten', 'mierd', 'abstract', 'pued', 'sal', 'sal', 'respuest', 'sorprend']",0,
9630,9630,9630,"[,]",2020-05-08 00:47:41+00:00,El virus del comunismo recorre el mundo,virus comunismo recorre mundo,"['virus', 'comunismo', 'recorre', 'mundo']","['virus', 'comun', 'recorr', 'mund']",1,
9798,9798,9798,"[,]",2020-05-08 00:52:17+00:00,@Virgini43804344 @CosseCarolina Cómo cuando pedía cuarentena obligatoria?,cuando cuarentena obligatoria,"['cuando', 'cuarentena', 'obligatoria']","['cuand', 'cuarenten', 'obligatori']",1,
9821,9821,9821,"[,]",2020-05-08 00:53:09+00:00,Dios las ganas de joda que me agarraron con ese videoooo virus de mierdaaaaa,Dios ganas joda agarraron videoooo virus mierdaaaaa,"['dios', 'ganas', 'joda', 'agarraron', 'videoooo', 'virus', 'mierdaaaaa']","['dios', 'gan', 'jod', 'agarr', 'videooo', 'virus', 'mierdaaaa']",0,
9911,9911,9911,"[,]",2020-05-08 00:54:59+00:00,Ustedes también piensan que el virus fue creado para reducir la súper población mundial o soy el único con mente de mierda ?,Ustedes tambi piensan virus creado para reducir poblaci mundial nico mente mierda,"['ustedes', 'tambi', 'piensan', 'virus', 'creado', 'para', 'reducir', 'poblaci', 'mundial', 'nico', 'mente', 'mierda']","['usted', 'tambi', 'piens', 'virus', 'cre', 'par', 'reduc', 'poblaci', 'mundial', 'nic', 'ment', 'mierd']",1,
9926,9926,9926,"[,]",2020-05-08 00:55:28+00:00,A ustedes también les pinto confesar cosas en esta cuarentena?,ustedes tambi pinto confesar cosas esta cuarentena,"['ustedes', 'tambi', 'pinto', 'confesar', 'cosas', 'esta', 'cuarentena']","['usted', 'tambi', 'pint', 'confes', 'cos', 'esta', 'cuarenten']",1,
9932,9932,9932,"[,]",2020-05-08 00:55:37+00:00,Que es eso de que en ig ponen que reporten a tal pq rompió la cuarentena? A mí me nombraron 2 veces y nqv,ponen reporten rompi cuarentena nombraron veces,"['ponen', 'reporten', 'rompi', 'cuarentena', 'nombraron', 'veces']","['pon', 'report', 'rompi', 'cuarenten', 'nombr', 'vec']",1,
9959,9959,9959,"[,]",2020-05-08 00:56:17+00:00,Que se te rompa el cargador en medio de la cuarentena no se lo deseo a nadie 😬😬😬😠,rompa cargador medio cuarentena deseo nadie,"['rompa', 'cargador', 'medio', 'cuarentena', 'deseo', 'nadie']","['romp', 'cargador', 'medi', 'cuarenten', 'dese', 'nadi']",0,
9973,9973,9973,"[,]",2020-05-08 00:56:35+00:00,"Años sin tener relación con mi papá, y en plena cuarentena me dice  ""ojalá nos podamos tomar un café"" OK. Si. Si",tener relaci plena cuarentena dice ojal podamos tomar,"['tener', 'relaci', 'plena', 'cuarentena', 'dice', 'ojal', 'podamos', 'tomar']","['ten', 'relaci', 'plen', 'cuarenten', 'dic', 'ojal', 'pod', 'tom']",1,
9976,9976,9976,"[,]",2020-05-08 00:56:45+00:00,"Cuarentena, día 52: me dieron ganas de ir a lamer picaportes de hospitales a ver qué onda.",Cuarentena dieron ganas lamer picaportes hospitales onda,"['cuarentena', 'dieron', 'ganas', 'lamer', 'picaportes', 'hospitales', 'onda']","['cuarenten', 'dieron', 'gan', 'lam', 'picaport', 'hospital', 'onda']",0,
10035,10035,10035,"[,]",2020-05-08 00:58:31+00:00,@Psicoloca11 La joda de esta persona rompió la cuarentena,joda esta persona rompi cuarentena,"['joda', 'esta', 'persona', 'rompi', 'cuarentena']","['jod', 'esta', 'person', 'rompi', 'cuarenten']",1,
10130,10130,10130,"[,]",2020-05-08 01:01:37+00:00,"Si, ya dudo a esta altura de la cuarentena tener todos los patitos en fila 🙄",dudo esta altura cuarentena tener todos patitos fila,"['dudo', 'esta', 'altura', 'cuarentena', 'tener', 'todos', 'patitos', 'fila']","['dud', 'esta', 'altur', 'cuarenten', 'ten', 'tod', 'patit', 'fil']",1,
10174,10174,10174,"[,]",2020-05-08 01:02:50+00:00,"No se si desde que empezó la cuarentena me había sentido así, alto baajonaso",desde empez cuarentena sentido alto baajonaso,"['desde', 'empez', 'cuarentena', 'sentido', 'alto', 'baajonaso']","['desd', 'empez', 'cuarenten', 'sent', 'alto', 'baajonas']",0,
10231,10231,10231,"[,]",2020-05-08 01:04:42+00:00,"Gente muy cómoda con la cuarentena, podría estar años ese día estado!!!",Gente moda cuarentena podr estar estado,"['gente', 'moda', 'cuarentena', 'podr', 'estar', 'estado']","['gent', 'mod', 'cuarenten', 'podr', 'estar', 'estad']",2,
10274,10274,10274,"[,]",2020-05-08 01:05:54+00:00,afeitense que les queda mal la barba de cuarentena,afeitense queda barba cuarentena,"['afeitense', 'queda', 'barba', 'cuarentena']","['afeitens', 'qued', 'barb', 'cuarenten']",1,
10289,10289,10289,"[,]",2020-05-08 01:06:16+00:00,A gritos con el tema del dipy que termine la cuarentena que movemos 20 días seguidos 😆,gritos tema dipy termine cuarentena movemos seguidos,"['gritos', 'tema', 'dipy', 'termine', 'cuarentena', 'movemos', 'seguidos']","['grit', 'tem', 'dipy', 'termin', 'cuarenten', 'mov', 'segu']",1,
10290,10290,10290,"[,]",2020-05-08 01:06:17+00:00,Le mandé a W unas empanadas de pin pum porque es la forma más romántica que encuentro para expresarle mí amor en esta cuarentena separadxs,mand unas empanadas porque forma ntica encuentro para expresarle amor esta cuarentena separadxs,"['mand', 'unas', 'empanadas', 'porque', 'forma', 'ntica', 'encuentro', 'para', 'expresarle', 'amor', 'esta', 'cuarentena', 'separadxs']","['mand', 'unas', 'empan', 'porqu', 'form', 'ntic', 'encuentr', 'par', 'expres', 'amor', 'esta', 'cuarenten', 'separadxs']",1,
10345,10345,10345,"[,]",2020-05-08 01:07:59+00:00,"Que se termine la cuarentena de una vez por todas, porque voy a seguir y seguir subiendo de peso 🐖",termine cuarentena todas porque seguir seguir subiendo peso,"['termine', 'cuarentena', 'todas', 'porque', 'seguir', 'seguir', 'subiendo', 'peso']","['termin', 'cuarenten', 'tod', 'porqu', 'segu', 'segu', 'sub', 'pes']",0,
10361,10361,10361,"[,]",2020-05-08 01:08:22+00:00,"Ok, hoy estoy odiando fuerte la cuarentena.",estoy odiando fuerte cuarentena,"['estoy', 'odiando', 'fuerte', 'cuarentena']","['estoy', 'odi', 'fuert', 'cuarenten']",0,
10389,10389,10389,"[,]",2020-05-08 01:09:16+00:00,"Ya hace 2 meses que estamos en cuarentena, 2 MESES DEL ULTIMO AFTER",hace meses estamos cuarentena MESES ULTIMO AFTER,"['hace', 'meses', 'estamos', 'cuarentena', 'meses', 'ultimo', 'after']","['hac', 'mes', 'estam', 'cuarenten', 'mes', 'ultim', 'after']",0,
10496,10496,10496,"[,]",2020-05-08 01:12:33+00:00,@DiegoT_ok Me separé en plena cuarentena y todavía no lloré,separ plena cuarentena todav llor,"['separ', 'plena', 'cuarentena', 'todav', 'llor']","['sep', 'plen', 'cuarenten', 'todav', 'llor']",0,
10643,10643,10643,"[,]",2020-05-08 01:17:01+00:00,Dónde se tatuarian HOY la Hoz y el Martillo si no fuese por la Cuarentena? 🇨🇳,tatuarian Martillo fuese Cuarentena,"['tatuarian', 'martillo', 'fuese', 'cuarentena']","['tatuari', 'martill', 'fues', 'cuarenten']",1,
10657,10657,10657,"[,]",2020-05-08 01:17:32+00:00,Esta cuarentena me hizo perder la poca dignidad que tenia,Esta cuarentena hizo perder poca dignidad tenia,"['esta', 'cuarentena', 'hizo', 'perder', 'poca', 'dignidad', 'tenia']","['esta', 'cuarenten', 'hiz', 'perd', 'poc', 'dignid', 'teni']",0,
10742,10742,10742,"[,]",2020-05-08 01:20:16+00:00,"Y cómo se hace para estar ahí, cerca y no darle un abrazo? Virus de mierda.",hace para estar cerca darle abrazo Virus mierda,"['hace', 'para', 'estar', 'cerca', 'darle', 'abrazo', 'virus', 'mierda']","['hac', 'par', 'estar', 'cerc', 'darl', 'abraz', 'virus', 'mierd']",0,
10782,10782,10782,"[,]",2020-05-08 01:21:05+00:00,"La cuarentena está haciendo efecto, si no no se explica 🤣",cuarentena haciendo efecto explica,"['cuarentena', 'haciendo', 'efecto', 'explica']","['cuarenten', 'hac', 'efect', 'explic']",1,
10789,10789,10789,"[,]",2020-05-08 01:21:18+00:00,Me re caliento con la gente que rompe la cuarentena! Y encima suben fotos.,caliento gente rompe cuarentena encima suben fotos,"['caliento', 'gente', 'rompe', 'cuarentena', 'encima', 'suben', 'fotos']","['calient', 'gent', 'romp', 'cuarenten', 'encim', 'sub', 'fot']",0,
10792,10792,10792,"[,]",2020-05-08 01:21:25+00:00,Hoy le hice un book de fotos a una calabaza. Ustedes como andan con la cuarentena?,hice book fotos calabaza Ustedes como andan cuarentena,"['hice', 'book', 'fotos', 'calabaza', 'ustedes', 'como', 'andan', 'cuarentena']","['hic', 'book', 'fot', 'calabaz', 'usted', 'com', 'andan', 'cuarenten']",0,
10840,10840,10840,"[,]",2020-05-08 01:22:55+00:00,ok el día más feliz y lindo de toda mi cuarentena,feliz lindo toda cuarentena,"['feliz', 'lindo', 'toda', 'cuarentena']","['feliz', 'lind', 'tod', 'cuarenten']",2,
10940,10940,10940,"[,]",2020-05-08 01:25:49+00:00,Día 678 de cuarentena: me descargué Tinder.,cuarentena descargu Tinder,"['cuarentena', 'descargu', 'tinder']","['cuarenten', 'descargu', 'tind']",1,
10945,10945,10945,"[,]",2020-05-08 01:25:56+00:00,"Si se levanta la cuarentena para antes de mi cumpleaños, están todos invitados!",levanta cuarentena para antes cumplea todos invitados,"['levanta', 'cuarentena', 'para', 'antes', 'cumplea', 'todos', 'invitados']","['levant', 'cuarenten', 'par', 'antes', 'cumple', 'tod', 'invit']",2,
10957,10957,10957,"[,]",2020-05-08 01:26:10+00:00,Extrañooo tanto tanto a brisa que rompería la cuarentena para ir a verla y abrazarla y llorar mucho mucho ❤️,Extra tanto tanto brisa romper cuarentena para verla abrazarla llorar mucho mucho,"['extra', 'tanto', 'tanto', 'brisa', 'romper', 'cuarentena', 'para', 'verla', 'abrazarla', 'llorar', 'mucho', 'mucho']","['extra', 'tant', 'tant', 'bris', 'romp', 'cuarenten', 'par', 'verl', 'abraz', 'llor', 'much', 'much']",0,
10972,10972,10972,"[,]",2020-05-08 01:26:19+00:00,"Si, por lo menos nos divertimos en medio de esta obscura cuarentena!",menos divertimos medio esta obscura cuarentena,"['menos', 'divertimos', 'medio', 'esta', 'obscura', 'cuarentena']","['men', 'divert', 'medi', 'esta', 'obscur', 'cuarenten']",2,
10985,10985,10985,"[,]",2020-05-08 01:26:46+00:00,"Si se levanta la cuarentena antes de mi cumpleaños, están todos invitados!!",levanta cuarentena antes cumplea todos invitados,"['levanta', 'cuarentena', 'antes', 'cumplea', 'todos', 'invitados']","['levant', 'cuarenten', 'antes', 'cumple', 'tod', 'invit']",2,
10992,10992,10992,"[,]",2020-05-08 01:27:00+00:00,Mi actividad de cuarentena es chamuyarme viejitos en tinder,actividad cuarentena chamuyarme viejitos tinder,"['actividad', 'cuarentena', 'chamuyarme', 'viejitos', 'tinder']","['activ', 'cuarenten', 'chamuy', 'viejit', 'tind']",2,
11112,11112,11112,"[,]",2020-05-08 01:30:15+00:00,Unos viejitos somos jaja ya tamos comidos y tapados hasta la capocha y buee lo positivo de la cuarentena.🤷‍♂️,Unos viejitos somos jaja tamos comidos tapados hasta capocha buee positivo cuarentena,"['unos', 'viejitos', 'somos', 'jaja', 'tamos', 'comidos', 'tapados', 'hasta', 'capocha', 'buee', 'positivo', 'cuarentena']","['unos', 'viejit', 'som', 'jaj', 'tam', 'com', 'tap', 'hast', 'capoch', 'bue', 'posit', 'cuarenten']",2,
11165,11165,11165,"[,]",2020-05-08 01:33:27+00:00,Que clase de gente son que cobran alquileres o los aumentan en tiempo de cuarentena ? Que gente de mierda son. Cero humanidad.,clase gente cobran alquileres aumentan tiempo cuarentena gente mierda Cero humanidad,"['clase', 'gente', 'cobran', 'alquileres', 'aumentan', 'tiempo', 'cuarentena', 'gente', 'mierda', 'cero', 'humanidad']","['clas', 'gent', 'cobr', 'alquiler', 'aument', 'tiemp', 'cuarenten', 'gent', 'mierd', 'cer', 'human']",0,
11234,11234,11234,"[,]",2020-05-08 01:35:28+00:00,Puedo romper la cuarentena? Lo extraño 🥺,Puedo romper cuarentena extra,"['puedo', 'romper', 'cuarentena', 'extra']","['pued', 'romp', 'cuarenten', 'extra']",0,
11254,11254,11254,"[,]",2020-05-08 01:36:02+00:00,"Mido los días de cuarentena por los blíster de levotiroxina que consumo, people with tiroides problems",Mido cuarentena ster levotiroxina consumo people with tiroides problems,"['mido', 'cuarentena', 'ster', 'levotiroxina', 'consumo', 'people', 'with', 'tiroides', 'problems']","['mid', 'cuarenten', 'ster', 'levotiroxin', 'consum', 'peopl', 'with', 'tiroid', 'problems']",1,
11256,11256,11256,"[,]",2020-05-08 01:36:05+00:00,Yo diría que es la cuarentena de la masturbación,cuarentena masturbaci,"['cuarentena', 'masturbaci']","['cuarenten', 'masturbaci']",1,
11300,11300,11300,"[,]",2020-05-08 01:37:40+00:00,"Hola, @Panthers  Podrías seguirme ya, no? Alégrame esta cuarentena desde Argentina 🇦🇷 🇦🇷",Hola Podr seguirme grame esta cuarentena desde Argentina,"['hola', 'podr', 'seguirme', 'grame', 'esta', 'cuarentena', 'desde', 'argentina']","['hol', 'podr', 'segu', 'gram', 'esta', 'cuarenten', 'desd', 'argentin']",2,
11317,11317,11317,"[,]",2020-05-08 01:38:24+00:00,"Me estoy haciendo amigas nuevas para cuando termine la cuarentena, cuando quiero soy muy copada",estoy haciendo amigas nuevas para cuando termine cuarentena cuando quiero copada,"['estoy', 'haciendo', 'amigas', 'nuevas', 'para', 'cuando', 'termine', 'cuarentena', 'cuando', 'quiero', 'copada']","['estoy', 'hac', 'amig', 'nuev', 'par', 'cuand', 'termin', 'cuarenten', 'cuand', 'quier', 'cop']",2,
11404,11404,11404,"[,]",2020-05-08 01:41:34+00:00,Lo bueno de la cuarentena. La final de la libertadores 2009  @Cruzeiro vs @EdelpOficial     por @FOXSportsArg  ahora! Toy temblando,bueno cuarentena final libertadores ahora temblando,"['bueno', 'cuarentena', 'final', 'libertadores', 'ahora', 'temblando']","['buen', 'cuarenten', 'final', 'libert', 'ahor', 'tembl']",2,
11427,11427,11427,"[,]",2020-05-08 01:42:14+00:00,"Que buen programa reyes del dolor, estoy a nada de hacerme morder la cabeza por un tiburón si se extiende la cuarentena",buen programa reyes dolor estoy nada hacerme morder cabeza tibur extiende cuarentena,"['buen', 'programa', 'reyes', 'dolor', 'estoy', 'nada', 'hacerme', 'morder', 'cabeza', 'tibur', 'extiende', 'cuarentena']","['buen', 'program', 'rey', 'dolor', 'estoy', 'nad', 'hac', 'mord', 'cabez', 'tibur', 'extiend', 'cuarenten']",0,
11525,11525,11525,"[,]",2020-05-08 01:45:17+00:00,Si todos hacen la broma de que rompieron la cuarentena la queman al toque bobossssss,todos hacen broma rompieron cuarentena queman toque bobossssss,"['todos', 'hacen', 'broma', 'rompieron', 'cuarentena', 'queman', 'toque', 'bobossssss']","['tod', 'hac', 'brom', 'romp', 'cuarenten', 'quem', 'toqu', 'bobossssss']",1,
11630,11630,11630,"[,]",2020-05-08 01:48:32+00:00,Con Juli vivimos enfrente y justo ahora en la cuarentena no esta😭 volvé amiga quiero cruzar,Juli vivimos enfrente justo ahora cuarentena esta volv amiga quiero cruzar,"['juli', 'vivimos', 'enfrente', 'justo', 'ahora', 'cuarentena', 'esta', 'volv', 'amiga', 'quiero', 'cruzar']","['juli', 'viv', 'enfrent', 'just', 'ahor', 'cuarenten', 'esta', 'volv', 'amig', 'quier', 'cruz']",0,
11685,11685,11685,"[,]",2020-05-08 01:50:09+00:00,¿Perder la noción del tiempo formará parte de la cuarentena? Solo sé que no paro de trabajar #CoronavirusEnArgentina,Perder noci tiempo formar parte cuarentena Solo paro trabajar #CoronavirusEnArgentina,"['perder', 'noci', 'tiempo', 'formar', 'parte', 'cuarentena', 'solo', 'paro', 'trabajar', '#coronavirusenargentina']","['perd', 'noci', 'tiemp', 'form', 'part', 'cuarenten', 'sol', 'par', 'trabaj', '#coronavirusenargentin']",0,
11706,11706,11706,"[,]",2020-05-08 01:50:34+00:00,a esta altura de la cuarentena ya creo que voy a necesitar psicólogo,esta altura cuarentena creo necesitar psic logo,"['esta', 'altura', 'cuarentena', 'creo', 'necesitar', 'psic', 'logo']","['esta', 'altur', 'cuarenten', 'cre', 'necesit', 'psic', 'log']",0,
11715,11715,11715,"[,]",2020-05-08 01:50:59+00:00,caí en eso de que rompí la cuarentena y quede (¿????)  JAJAJAJAJAJ LPM,romp cuarentena quede JAJAJAJAJAJ,"['romp', 'cuarentena', 'quede', 'jajajajajaj']","['romp', 'cuarenten', 'qued', 'jajajajajaj']",2,
11746,11746,11746,"[,]",2020-05-08 01:51:56+00:00,@Absudha1 Jajaja Seee algo hay que hacer con esta cuarentena💪😉😘😘,Jajaja Seee algo hacer esta cuarentena,"['jajaja', 'seee', 'algo', 'hacer', 'esta', 'cuarentena']","['jajaj', 'see', 'algo', 'hac', 'esta', 'cuarenten']",2,
11753,11753,11753,"[,]",2020-05-08 01:52:08+00:00,"@maurisan22 O muy temprano, no entiendo  nada, la cuarentena debe ser que ya ni sabe su horario jajaja",temprano entiendo nada cuarentena debe sabe horario jajaja,"['temprano', 'entiendo', 'nada', 'cuarentena', 'debe', 'sabe', 'horario', 'jajaja']","['tempran', 'entiend', 'nad', 'cuarenten', 'deb', 'sab', 'horari', 'jajaj']",1,
11754,11754,11754,"[,]",2020-05-08 01:52:09+00:00,"Como que estaria siendo la 3ra vez que me viene en cuarentena y no estamos encerrados hace 3 meses, dudoso",Como estaria siendo viene cuarentena estamos encerrados hace meses dudoso,"['como', 'estaria', 'siendo', 'viene', 'cuarentena', 'estamos', 'encerrados', 'hace', 'meses', 'dudoso']","['com', 'estari', 'siend', 'vien', 'cuarenten', 'estam', 'encerr', 'hac', 'mes', 'dudos']",1,
11831,11831,11831,"[,]",2020-05-08 01:54:11+00:00,"Recién me senté en una silla, suspiré y pensé: la cuarentena me agota  Ya está, ya pasé del otro lado, 👋vejez",Reci sent silla suspir pens cuarentena agota otro lado vejez,"['reci', 'sent', 'silla', 'suspir', 'pens', 'cuarentena', 'agota', 'otro', 'lado', 'vejez']","['reci', 'sent', 'sill', 'susp', 'pens', 'cuarenten', 'agot', 'otro', 'lad', 'vejez']",0,
11846,11846,11846,"[,]",2020-05-08 01:54:36+00:00,encontré un nuevo pasatiempo y es hacer almohadones bordados. esto hace la cuarentena con las personas,encontr nuevo pasatiempo hacer almohadones bordados esto hace cuarentena personas,"['encontr', 'nuevo', 'pasatiempo', 'hacer', 'almohadones', 'bordados', 'esto', 'hace', 'cuarentena', 'personas']","['encontr', 'nuev', 'pasatiemp', 'hac', 'almohadon', 'bord', 'esto', 'hac', 'cuarenten', 'person']",1,
11847,11847,11847,"[,]",2020-05-08 01:54:42+00:00,"Recién me senté en una silla, suspiré y pensé: la cuarentena me agota  Ya está, ya pasé del otro lado, 👋juventud",Reci sent silla suspir pens cuarentena agota otro lado juventud,"['reci', 'sent', 'silla', 'suspir', 'pens', 'cuarentena', 'agota', 'otro', 'lado', 'juventud']","['reci', 'sent', 'sill', 'susp', 'pens', 'cuarenten', 'agot', 'otro', 'lad', 'juventud']",0,
11884,11884,11884,"[,]",2020-05-08 01:55:52+00:00,Un flaco sube a su historia que yo rompí la cuarentena jajajajaja ya sé que es un juego pero pq me tuvo que poner a mí 🤣,flaco sube historia romp cuarentena jajajajaja juego pero tuvo poner,"['flaco', 'sube', 'historia', 'romp', 'cuarentena', 'jajajajaja', 'juego', 'pero', 'tuvo', 'poner']","['flac', 'sub', 'histori', 'romp', 'cuarenten', 'jajajajaj', 'jueg', 'per', 'tuv', 'pon']",2,
